Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-08-31 17:42:38,Strongly disagree,These reviews used so many clue in words that made it easy to discern the type of review that it was ,"I would look for stand out words such as good, amazing, awful, bad, etc",The very beginning and the very end are dead giveaways as to what kind of review it is ,Nothing. It was clear,Disagree,Most of the reviews had dead giveaways as to how people were feeling so i knew what to highlight,"I picked the ones that truly stood out and weren't questionable in whether they were positive or negative. Words such as amazing, awful, bad, or good. ",If they were descriptive words that you can get the vibe of the review based off just that word or phrase,There were certain words that I thought could be mistaken for the opposite type of review so I left it un-highlighted as it wasnt crystal clear,nothing ,"I read the review from beginning to end, highlighting what stood out to me as i read ",Somewhat agree,because they are words that really help discern the direction the review is going,nothing,25 - 34,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,76145,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
2021-08-31 17:45:20,Somewhat disagree,You could tell from the words the author used that they were either positive or negative.,"I read through them and then i look for key words like ""love"", "" hate"", ""worst, etc and I used those to determine where the reviews are + or -.
",The first sentence.,i don't think so,Somewhat disagree,it was pretty apparent.,"love
hate
sucks
worst
enjoyed",it's meaning ,because it wasn't that important,no,top to bottom,Somewhat disagree,because everyone uses different words,none,25 - 34,Man,,Asian,Black or African American,,,,,,,,Bachelor's degree,,No,I don’t know,Yes,,14412,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Classify a movie review as positive or negative.
 Select confidence that you have in your selections.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
",Clicking on individual words.,Dragging over words/phrases.,,,16
2021-08-31 17:45:42,Strongly disagree,It was really straightforward once they were read,"Reading the whole review, paying attention for certain key words and phrases and the emotions the author of the review was portraying.",Key words and phrases and emotion,Nothing,Strongly disagree,"There was a lot of clear, strong terminology","Selecting the ones that were the most memorable, vivid, clear about how the viewer felt",That it was memorable and clear,I can't think of any,Nothing,I started at the beginning and worked my way towards the end,Somewhat disagree,I selected a lot of things that would be in other reviews but some that were individual possibly to the person's. I just followed the instructions to select ones.,Nothing,18 - 24,Non-binary,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,63828,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
2021-08-31 17:47:20,Somewhat agree,most was pretty clear but the ones that were vague make it more difficult with lack of words I felt projected any strong feelings,"first read through the whole thing, then looked for certain phrases that clearly indicate in my mind whether the writer held any strong feelings ",the beginning sentence and the end phrase and worked my way into the middle ,everything was explained fine,Strongly disagree,it was simple enough to pick with words I felt made a point,just used my own knowledge on the context on the words around it ,words that sound very BOLD,i didn't want it to seem repetitive in some cases or I felt was nitpicking  ,none,"started from the top and worked my down, looking for words that stuck out the most",Neither agree nor disagree,again it depended on the overall feel of the statement because context matters,easier way to highlight a sentence that ran on to other line ,25 - 34,Woman,,,,Hispanic or Latine,,,,,,,High School or equivalent,,No,No,Yes,,25673,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-08-31 17:55:44,Strongly disagree,It is easy to tell with context whether the person is praising the movie or complaining about it.,I looked to see whether the person was praising the movie (listing good qualities) or complaining about it (listing negative qualities),"I focused on the tone of the language used, like great, bad, boring, fantastic, etc",None,Somewhat agree,I wasn't always sure that the words would always indicate a positive or negative review without the context of the whole sentence. It's possible an algorithm could find some phrases in a different context and incorrectly categorize the review.,"I looked for words or phrases that specifically indicated whether someone was happy with part of the movie, or upset about part of the movie. ",I selected words or phrases that I felt were the most reliable indicators that someone is saying good things or bad things about a movie.,"Sometimes a sentence was negative, but none of the words or phrases stood out in a way that if another review contained them, it would likely be negative as well.","It was unclear whether we were aiming to find shortest phrases that indicated a positive or negative review, therefore being more likely to be found in other reviews, or if we should prioritize highlighting enough of the sentence that those words or phrases would almost certainly indicate a positive or negative review whenever they're found.","I read through the review from start to finish, and selected all of the words and phrases I thought were strong indicators of a positive or negative review, in the order that I read them.",Agree,I thought this would be the most useful data for the experiment.,"Sometimes it was tricky when I wanted to highlight a phrase that started on one line and ended on the next. I would strongly prefer if I could see which words were highlighted as I was moving the mouse (like when you highlight words on a page to copy them, etc)",18 - 24,Non-binary,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,13967,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
2021-08-31 18:00:02,Somewhat disagree,"Most, but not all, of the reviews were very clear about what they thought, usually summarizing it in one sentance somewhere","Read the whole review and look to see if the reviewer says explicitly what they think, otherwise, look for overall sentiment",Usually the beginning and end contain the authors main conclusion but I read the whole thing,some of the reviews were neither positive nor negative,Somewhat disagree,Its pretty easy to pick out positive or negative words,words that are themselves heavily connotated or tend to be in movie contexts,The emotional connotations of the word,"If the words are being used to describe plot details rather than the impression one got of those details, sometimes they aren't relevant",Clarifying that these are words an AI might look for rather than what a human who is more context sensitive might use,I started from the beginning and worked to the end while rereading,Agree,Because you told me we were training an AI,Sometimes the words would randomly deselect when selecting the next one,25 - 34,Prefer not to say,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,I don’t know,Yes,,40358,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,14
2021-08-31 18:01:02,Somewhat disagree,"some used words i didnt really understand, and some were conflicting",i tried to put myself into the head of the writer and think about if i liked a movie i had this experience with. i also assessed how positive or negative the language was,particular experiences and descriptions of events,i think there should have been an option for dont know or struggling to understand the review,Disagree,most reviews were descriptive and had clearly negative/positive phrases,i looked for particularly descriptive words or phrases and tried to figure out if they were bad or good,if it was an adjective and if it were describing the movie or actors,"i felt like they were too general in some cases, or too neutral",they were fine,as i read through the review again,Somewhat disagree,"some words are describing different aspects of the movie, if it seems someone has a vendetta toward an actor then theyre less descriptive of the movie. if the word is aimed at the movie, then its different",show the text being highlighted as you do it. not after you release the mouse button,18 - 24,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,22805,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,14
2021-08-31 18:01:37,Agree,As some reviews had a good mixture of positive and negative elements to them,If the reviewer was leaning more heavily on the side of positivity or negativity,The beginning and ending of the reviews were a good indication of whether they were postivie or negative,None,Strongly disagree,It was really clear which words were negative or positive.,I read through and determined words or parts of a sentence that were positive or negative.,Whether it was overtly positive or negative.,"I didnt come across this, I selected all the words and parts of a sentence that had a positive or negative connotation.",Nothing.,I selected the words or phrases as I read through the review line-by-line.,Disagree,"I didn't think of other reviews when I was looking at each one individually, I only focused on what was in front of me at the time.",Nothing.,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,None.,93367,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,,Dragging over words/phrases.,,,11
2021-08-31 18:01:47,Disagree,"Each review had a fairly clear outline of each film,",Many of the opening statements indicated whether the film was liked or not. Also the wording made it clear.,"The phrases and wording, also punctuation contributed.",Nothing.,Disagree,The wording used was used in such a way that it was easy to determine the reviewers feelings.,Selecting words that had a positive or negative feeling on their own.,The way in which the word was used as part of a phrase.,n/a,Nothing.,I chose the words relating to whether i thought the review was positive or negative first and then the opposite secondly.,Somewhat disagree,"For the first selection I chose phrases or words specific to that review, whereas for the second selection I chose words or phrases which could be considered alone.",Nothing.,35 - 44,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,18821,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-08-31 18:08:27,Neither agree nor disagree,"There was 1 review, about Scorsese's choices, that went into great detail describing the work but not really giving the reviewer's reaction to it.",Read it looking for positive and negative comments - 1 made a positive comment on 1 actor but rated the rest of the film poorly.,Whether the reviewer said they liked it or made strong comments about its poor quality.,"Some were strongly positive or negative, others more nuanced, but no option to put that with the binary choices offered.  Really needed a 'neither +ve nor -ve' box.",Neither agree nor disagree,"The way some were worded meant that I needed to highlight the whole phrase to get the meaning.  Some reviewers wrote in a reversed way, eg if you want a film that's interesting, don't pick this one.","Where the individual word was a +ve or -ve I clicked that, where it was a phrase I tried to include the positive or negative signifiers without highlighting large sections.",Whether the meaning was complimentary or not.,"The Scorsese one - the sense behind it was positive, I think, but it wasn't written using positive-sounding phrases - so I considered some sections but decided not to highlight as it was a description rather than a rating.",Examples of how many words to include in different types of phrases.,"From the beginning - read it through once for the =ve/-ve question, then again from the beginning looking for indicative words.",Agree,Things considered 'good' in a film might be considered 'bad' in a different context - eg action-packed is generally a +ve trait in a film but maybe not in a lullaby!,"Highlighting didn't appear until I lifted my finger off the mouse, so took a few tries to realise it was highlighting.",55 - 64,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,,46842,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
